date,pmi_pm,neword_hi,neword_in,neword_lo,neword_ne,neword_sa,production_hi,production_in,production_lo,production_ne,production_sa,employment_hi,employment_in,employment_lo,employment_ne,employment_sa,supdel_fa,supdel_in,supdel_sl,supdel_ne,supdel_sa,inventories_hi,inventories_in,inventories_lo,inventories_ne,inventories_sa,cusinv_abri,cusinv_in,cusinv_tohi,cusinv_tolo,cusinv_ne,cusinv_re,prices_hi,prices_in,prices_lo,prices_ne,prices_sa,bacord_hi,bacord_in,bacord_lo,bacord_ne,bacord_sa,newexpord_hi,newexpord_in,newexpord_lo,newexpord_ne,newexpord_sa,imports_hi,imports_in,imports_lo,imports_ne,imports_sa,buypol_caex-1ye,buypol_caex-30da,buypol_caex-60da,buypol_caex-6mo,buypol_caex-90da,buypol_caex-avda,buypol_caex-hamo,buypol_mrsu-1ye,buypol_mrsu-30da,buypol_mrsu-60da
2020-05-01,43.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-01,52.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-01,53.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-01,55.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-01,55.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-01,58.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-01,57.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-01,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,58.7,37.0,61.1,12.0,25.0,51.0,30.8,60.7,11.4,19.4,57.8,13.9,52.6,13.8,0.1,72.2,3.5,68.2,39.9,36.4,56.5,18.1,50.8,16.3,1.8,65.6,59.6,33.1,3.3,37.1,-33.8,75.0,64.3,82.1,0.0,64.3,35.7,32.1,59.7,12.7,19.4,55.2,17.6,54.9,7.7,9.9,74.6,21.9,56.8,8.3,13.6,69.9,18.0,6.0,10.0,30.0,15.0,141.0,21.0,0.0,36.0,19.0
2021-02-01,60.9,42.4,64.8,6.4,36.0,51.2,36.8,63.2,11.6,25.2,51.7,19.2,54.4,12.3,6.9,68.5,1.5,72.0,45.4,43.9,53.1,19.8,49.7,17.1,2.7,63.1,55.4,32.5,4.8,39.8,-35.0,79.0,73.1,86.0,1.2,71.9,25.7,38.5,64.0,10.5,28.0,51.0,20.5,57.2,6.1,14.4,73.4,21.0,56.1,8.7,12.3,70.3,19.0,6.0,8.0,29.0,15.0,142.0,23.0,0.0,37.0,16.0
