date,disposable_income,real_disposable_income,compensation,private_wages,govt_wages,supplements,nonfarm_income,dividend_income,transfer_receipts,social_security,medicare,medicaid,unemployment,veterans,social_contributions,personal_taxes,population,dpi_per_capita
2020-01-01,16552.7,15842.8,11800.2,8140.8,1503.4,2155.9,1570.5,1371.4,3192.7,3146.7,803.4,603.4,26.2,138.6,1470.6,2255.5,331443.0,49941.0
2020-02-01,16625.5,15900.3,11898.8,8216.1,1515.6,2167.1,1575.7,1369.4,3194.8,3151.2,804.9,602.7,25.7,140.1,1481.0,2279.1,331525.0,50148.0
2020-03-01,16370.4,15702.3,11640.4,7986.1,1520.7,2133.6,1476.3,1372.7,3277.1,3235.1,806.8,613.3,65.6,141.5,1452.7,2221.0,331668.0,49358.0
2020-04-01,18703.3,18015.3,10710.1,7230.6,1475.8,2003.8,1331.6,1360.6,6439.2,6397.7,808.9,635.7,368.7,142.7,1359.4,2048.8,331750.0,56377.0
2020-05-01,17780.7,17110.0,11070.8,7562.9,1455.4,2052.5,1395.5,1350.7,5220.8,5179.2,825.6,655.4,1114.5,144.1,1402.1,2112.5,331752.0,53596.0
2020-06-01,17774.4,17050.2,11375.2,7802.9,1466.9,2105.4,1470.4,1349.5,4890.9,4834.2,828.5,672.7,1366.1,145.0,1431.9,2175.0,331795.0,53570.0
2020-07-01,17987.1,17202.9,11466.1,7864.9,1480.5,2120.7,1576.4,1353.5,4973.2,4929.8,831.7,687.7,1434.3,146.0,1439.5,2212.5,331862.0,54200.0
2020-08-01,17344.6,16542.0,11579.4,7934.3,1508.8,2136.3,1656.4,1363.7,4154.6,4109.4,835.3,693.5,641.9,146.9,1448.5,2252.8,331936.0,52253.0
2020-09-01,17471.8,16633.7,11665.6,8007.9,1507.0,2150.7,1752.9,1389.7,4101.9,4054.3,839.2,691.0,326.9,147.6,1454.6,2286.4,332017.0,52623.0
2020-10-01,17424.0,16573.6,11886.1,8211.4,1502.2,2172.5,1688.4,1431.9,3859.6,3809.0,843.4,679.8,313.2,148.2,1475.9,2339.6,332092.0,52467.0
2020-11-01,17239.3,16381.8,12013.7,8326.6,1496.9,2190.2,1573.5,1503.3,3721.5,3666.9,848.0,676.0,305.9,148.7,1487.3,2381.4,332130.0,51905.0
2020-12-01,17327.5,16397.7,12071.4,8368.7,1497.8,2204.9,1514.0,1572.5,3796.0,3736.6,852.9,679.7,346.9,149.0,1491.4,2414.0,332113.0,52174.0
2021-01-01,19306.1,18194.0,12104.0,8388.3,1505.9,2209.9,1576.7,1567.0,5817.0,5752.1,858.2,691.3,619.2,149.5,1505.7,2520.0,332059.0,58141.0
2021-02-01,17776.2,16697.3,12046.9,8331.7,1507.1,2208.0,1632.3,1616.8,4238.6,4168.4,863.4,704.2,577.7,149.7,1496.8,2537.0,332035.0,53537.0
2021-03-01,21959.4,20520.0,12117.7,8388.2,1514.5,2215.0,1743.0,1655.6,8225.1,8149.9,868.6,719.0,568.5,150.1,1503.7,2575.7,332074.0,66128.0
2021-04-01,18741.2,17420.7,12284.2,8538.9,1520.4,2224.9,1744.2,1702.3,4829.4,4749.6,873.8,736.0,497.5,150.5,1523.6,2631.4,332141.0,56425.0
2021-05-01,18299.5,16922.4,12405.3,8646.3,1525.3,2233.6,1759.7,1744.4,4255.6,4171.2,878.9,747.3,447.4,151.1,1538.0,2670.8,332212.0,55084.0
2021-06-01,18306.9,16838.1,12522.2,8740.7,1540.4,2241.1,1762.5,1784.7,4147.0,4032.6,884.0,753.3,367.6,151.6,1552.1,2701.4,332300.0,55092.0
2021-07-01,18511.8,16949.3,12639.6,8835.0,1555.8,2248.8,1780.1,1813.6,4229.1,4126.2,889.0,751.9,287.0,152.7,1566.7,2722.6,332454.0,55682.0
2021-08-01,18547.5,16917.1,12692.0,8872.7,1567.0,2252.3,1781.2,1831.6,4215.0,4117.2,894.0,749.7,255.0,153.3,1573.8,2737.7,332641.0,55758.0
2021-09-01,18401.3,16728.5,12779.7,8950.4,1570.6,2258.6,1787.7,1853.5,3995.4,3893.4,899.0,746.0,66.9,154.2,1586.1,2762.8,332801.0,55292.0
