,ICSA,ICNSA,CCSA,CCNSA
2000-01-06,257450.7122951685,257450.7122951685,1813022.1131666778,1813022.1131666778
2000-01-13,250367.78066769516,252772.0726694375,1785229.1799331573,1797250.6399418688
2000-01-20,264563.9462479613,269337.658057371,1773740.4503114028,1797609.0093584515
2000-01-27,280031.7004168854,287105.5934370886,1737687.6187196344,1773057.0838206506
2000-02-03,255908.98559103967,265180.4590688469,1864439.1206903507,1910796.4880793872
2000-02-10,258009.79072522803,269344.3698870908,1779181.8209116228,1835854.7167209368
2000-02-17,287146.19782703824,300379.484320342,1871832.5188430785,1937998.9513095974
2000-02-24,276713.74957215384,291653.8059223699,1862576.5600855446,1937276.8418366245
2000-03-02,259687.64317832893,276117.77667751734,1917306.308140511,1999456.9756364531
2000-03-09,276157.3849542237,293839.29060297256,1874655.5678759925,1963065.0961197368
2000-03-16,262100.48336014105,280777.70027726307,1878411.8226090793,1971797.9071946894
2000-03-23,262827.66988290043,282229.3010506281,1935249.6311279598,2032257.7869665984
2000-03-30,273923.51366870245,293768.15506166714,1917773.8612280183,2016997.068192842
2000-04-06,241787.5098252484,261787.33193459595,1917754.4739489479,2017753.5844956855
2000-04-13,244515.49963522796,264380.42218886304,1924885.370535755,2024209.9833039306
2000-04-20,261569.38414241603,281011.28347063775,1822678.081491989,1919887.5781330976
2000-04-27,254143.6721536103,272880.56017590745,1933920.877856153,2027605.3179676384
2000-05-04,273110.528329165,290870.64254955074,1921970.8272820094,2010771.3983839382
2000-05-11,253579.54135956318,270105.28654857376,1834491.1987297111,1917119.9246747638
2000-05-18,244578.7393595009,259630.42375213976,1865900.84022705,1941159.2621902442
2000-05-25,286093.10702351574,299452.41884279624,1867827.4493966687,1934624.0084930712
2000-06-01,258873.04622872712,270346.2201108197,1853787.0976061067,1911152.9670165693
2000-06-08,261257.52050247474,270678.14789717743,1867092.0154517528,1914195.152425266
2000-06-15,236721.64321185427,243953.08599593665,1911171.2458958663,1947328.459816278
2000-06-22,247670.50783264544,252607.88012867418,1882370.703481763,1907057.5649619065
2000-06-29,255171.85788972632,257743.5473457897,1750992.8059608066,1763851.2532411234
2000-07-06,233877.5855756736,234046.2920411462,1835842.1629288075,1836685.6952561706
2000-07-13,254409.98276248825,252173.2592947352,1859307.99245823,1848124.375119465
2000-07-20,237429.3971449767,232819.68550015872,1800486.6243646774,1777438.0661405874
2000-07-27,239794.89616841346,232879.0562616287,1824314.391013764,1789735.19147984
2000-08-03,232976.33648171753,223854.6766412581,1859499.605105213,1813891.3059029155
2000-08-10,267750.0435378257,256554.8656188788,1799853.7824671685,1743877.8928724339
2000-08-17,237889.72396126264,224783.4044209351,1751727.8395710858,1686196.2418694482
2000-08-24,220542.92588786889,205715.56065389654,1783061.417759095,1708924.5915892331
2000-08-31,247278.2292135497,230944.87650585122,1730671.2610751537,1649004.497536661
2000-09-07,215395.76776924107,197793.3288648265,1718426.4033350586,1630414.2088129858
2000-09-14,235865.05171487678,217248.83489794063,1694741.462556599,1601660.3784719184
2000-09-21,202630.73346622282,183270.75100038014,1786913.8267734407,1690113.9144442272
2000-09-28,211677.48207221396,191854.53390412158,1665656.7097575692,1566541.9689171074
2000-10-05,234415.19369222512,214416.79468911004,1782469.0878475439,1682477.0928319683
2000-10-12,242691.3358337769,222807.54562679862,1731566.7645154234,1632147.813480532
2000-10-19,234625.3206601885,215144.53657818286,1638773.092947253,1541369.1725372248
2000-10-26,231043.08358553404,212247.85769902653,1730698.4700484942,1636722.3406159566
2000-11-02,229256.872403226,211419.81334890556,1612255.3269113596,1523070.0316397573
2000-11-09,212849.9292455701,196229.74827174525,1754766.256272053,1671665.3514029288
2000-11-16,225725.48871426427,210563.2472960222,1775191.940091947,1699380.7330007367
2000-11-23,231328.87832674425,217844.49177593776,1709851.6552311552,1642429.7224771227
2000-11-30,256006.18080095382,244395.2285831557,1755163.8222106611,1697109.0611216708
2000-12-07,247382.91617455787,237813.80519660006,1857053.3280336803,1809207.7731438912
2000-12-14,218001.12567424838,210612.64768642845,1745111.098817841,1708168.7088787411
2000-12-21,251633.23725769328,246532.55579843465,1729041.8500549966,1703538.4427587036
2000-12-28,243394.97423391367,240656.07031452152,1868029.0999643714,1854334.5803674108
2001-01-04,241456.33461200452,241118.93368552724,1904232.6170664378,1902545.6124340515
2001-01-11,263229.1588367975,265298.1546143902,1818469.8373867231,1828814.8162746867
2001-01-18,271932.84821939183,276378.231691232,1880889.9567700683,1903116.874129269
2001-01-25,272786.4215706215,279543.7162608671,1909099.9696023038,1942886.443053532
2001-02-01,248480.31257160407,257451.50971439417,1816121.2871956453,1860977.2729095956
2001-02-08,258551.6258954781,269606.6059680502,1839548.934437164,1894823.8348000247
2001-02-15,270119.6561100534,283098.07610485854,1935124.9642085414,2000017.0641825672
2001-02-22,281556.53379710147,296270.1528596521,1966657.7605590404,2040225.8558717938
2001-03-01,261294.98714462604,277530.39684569545,1918309.8555590084,1999486.9040643557
2001-03-08,267021.47918671346,284543.19882862765,1852756.4573134945,1940365.0555230654
2001-03-15,254280.96483044594,272834.8568927052,2001410.9054093768,2094180.3657206728
