file,changed,rows_before,rows_after,note,run_at
/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/000300.SS.csv,True,1097,1097,,2025-09-16T11:45:53+09:00
/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/02803.HK.csv,False,0,0,sanitized_text_only,2025-09-16T11:45:53+09:00
/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/091180.KS.csv,True,4020,4020,,2025-09-16T11:45:53+09:00
/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/091230.KS.csv,True,4022,4022,,2025-09-16T11:45:53+09:00
/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/102110.KS.csv,True,4016,4016,,2025-09-16T11:45:53+09:00
/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/102970.KS.csv,True,4010,4010,,2025-09-16T11:45:53+09:00
/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/122090.KS.csv,True,3832,3832,,2025-09-16T11:45:53+09:00
/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/1306.T.csv,True,4347,4347,,2025-09-16T11:45:53+09:00
/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/1311.T.csv,True,4348,4348,,2025-09-16T11:45:53+09:00
/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/1321.T.csv,True,4102,4102,,2025-09-16T11:45:53+09:00
/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/139240.KS.csv,True,3465,3465,,2025-09-16T11:45:53+09:00
/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/139250.KS.csv,True,3510,3510,,2025-09-16T11:45:53+09:00
/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/139260.KS.csv,True,3523,3523,,2025-09-16T11:45:53+09:00
/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/139270.KS.csv,True,3488,3488,,2025-09-16T11:45:53+09:00
/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/139290.KS.csv,True,3516,3516,,2025-09-16T11:45:53+09:00
/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/1399.T.csv,True,2415,2415,,2025-09-16T11:45:53+09:00
/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/140700.KS.csv,True,3507,3507,,2025-09-16T11:45:53+09:00
/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/1477.T.csv,True,2443,2443,,2025-09-16T11:45:53+09:00
/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/147970.KS.csv,True,3354,3354,,2025-09-16T11:45:53+09:00
/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/1480.T.csv,True,2303,2303,,2025-09-16T11:45:53+09:00
/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/1488.T.csv,True,2195,2195,,2025-09-16T11:45:53+09:00
/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/1493.T.csv,True,2054,2054,,2025-09-16T11:45:53+09:00
/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/1494.T.csv,True,2055,2055,,2025-09-16T11:45:53+09:00
/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/157490.KS.csv,True,3240,3240,,2025-09-16T11:45:53+09:00
/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/159736.SZ.csv,True,966,966,,2025-09-16T11:45:53+09:00
/home/runner/work/Macro-analysis/Macro-analysis/global_universe/data/daily/159852.SZ.csv,True,1117,1117,,2025-09-16T11:45:53+09:00
